gain,throughput
4.500000000000000000e+01,1.064689425662279746e+03
5.000000000000000000e+01,1.070997164115323812e+03
5.500000000000000000e+01,1.075734220106310431e+03
6.000000000000000000e+01,1.075996311130281583e+03
6.500000000000000000e+01,1.076284070913164442e+03
7.000000000000000000e+01,1.081185072732716890e+03
7.500000000000000000e+01,1.085329719279985511e+03
8.000000000000000000e+01,1.088372332681332182e+03
8.500000000000000000e+01,1.074885826048907347e+03
