time,packet_count
1.579082012176513672e-01,1.000000000000000000e+00
2.333204746246337891e-01,1.000000000000000000e+01
3.065545558929443359e-01,1.700000000000000000e+01
3.819179534912109375e-01,2.500000000000000000e+01
3.840515613555908203e-01,2.000000000000000000e+01
4.572532176971435547e-01,3.300000000000000000e+01
5.325822830200195312e-01,4.100000000000000000e+01
6.078896522521972656e-01,4.900000000000000000e+01
6.811184883117675781e-01,5.700000000000000000e+01
7.545826435089111328e-01,6.500000000000000000e+01
8.327605724334716797e-01,7.200000000000000000e+01
9.080994129180908203e-01,8.100000000000000000e+01
9.815111160278320312e-01,8.800000000000000000e+01
1.056904792785644531e+00,9.600000000000000000e+01
1.058993101119995117e+00,9.800000000000000000e+01
1.132111310958862305e+00,1.040000000000000000e+02
1.205294609069824219e+00,1.120000000000000000e+02
1.278553009033203125e+00,1.190000000000000000e+02
1.351747751235961914e+00,1.270000000000000000e+02
1.424954652786254883e+00,1.340000000000000000e+02
1.498170614242553711e+00,1.420000000000000000e+02
1.571384429931640625e+00,1.490000000000000000e+02
1.644596099853515625e+00,1.570000000000000000e+02
1.717935800552368164e+00,1.640000000000000000e+02
1.794022560119628906e+00,1.720000000000000000e+02
1.867352008819580078e+00,1.800000000000000000e+02
1.940734624862670898e+00,1.870000000000000000e+02
2.014167070388793945e+00,1.950000000000000000e+02
2.087409496307373047e+00,2.020000000000000000e+02
2.160942077636718750e+00,2.100000000000000000e+02
2.236692428588867188e+00,2.170000000000000000e+02
2.312363624572753906e+00,2.250000000000000000e+02
2.385942697525024414e+00,2.330000000000000000e+02
2.461489915847778320e+00,2.400000000000000000e+02
2.537026166915893555e+00,2.480000000000000000e+02
2.610246419906616211e+00,2.560000000000000000e+02
2.685575246810913086e+00,2.630000000000000000e+02
2.761294364929199219e+00,2.710000000000000000e+02
2.834508419036865234e+00,2.790000000000000000e+02
2.909769058227539062e+00,2.860000000000000000e+02
2.985055446624755859e+00,2.940000000000000000e+02
3.058300018310546875e+00,3.020000000000000000e+02
3.133568525314331055e+00,3.090000000000000000e+02
3.208822250366210938e+00,3.170000000000000000e+02
3.282060861587524414e+00,3.240000000000000000e+02
3.357370138168334961e+00,3.320000000000000000e+02
3.430618047714233398e+00,3.400000000000000000e+02
3.503802537918090820e+00,3.470000000000000000e+02
3.577085494995117188e+00,3.550000000000000000e+02
3.650341749191284180e+00,3.620000000000000000e+02
3.725647449493408203e+00,3.700000000000000000e+02
3.798957824707031250e+00,3.770000000000000000e+02
3.874349117279052734e+00,3.850000000000000000e+02
3.947572231292724609e+00,3.930000000000000000e+02
4.021022796630859375e+00,4.000000000000000000e+02
4.094329357147216797e+00,4.080000000000000000e+02
4.167539596557617188e+00,4.150000000000000000e+02
4.240792751312255859e+00,4.230000000000000000e+02
4.314064741134643555e+00,4.300000000000000000e+02
4.389415025711059570e+00,4.380000000000000000e+02
4.462913274765014648e+00,4.450000000000000000e+02
4.465280532836914062e+00,4.430000000000000000e+02
4.538493156433105469e+00,4.530000000000000000e+02
4.613820314407348633e+00,4.610000000000000000e+02
4.687044858932495117e+00,4.680000000000000000e+02
4.762862682342529297e+00,4.760000000000000000e+02
4.836061000823974609e+00,4.840000000000000000e+02
4.909370422363281250e+00,4.910000000000000000e+02
4.982716798782348633e+00,4.990000000000000000e+02
5.056096315383911133e+00,5.060000000000000000e+02
5.131608009338378906e+00,5.140000000000000000e+02
5.204854488372802734e+00,5.210000000000000000e+02
5.280266523361206055e+00,5.290000000000000000e+02
5.355713367462158203e+00,5.370000000000000000e+02
5.428923130035400391e+00,5.440000000000000000e+02
5.431168794631958008e+00,5.400000000000000000e+02
5.504460573196411133e+00,5.520000000000000000e+02
5.577747821807861328e+00,5.600000000000000000e+02
5.650979518890380859e+00,5.670000000000000000e+02
5.724283456802368164e+00,5.750000000000000000e+02
5.797647237777709961e+00,5.820000000000000000e+02
5.872891426086425781e+00,5.900000000000000000e+02
5.946171522140502930e+00,5.970000000000000000e+02
6.021604776382446289e+00,6.050000000000000000e+02
6.094821691513061523e+00,6.130000000000000000e+02
6.168076276779174805e+00,6.200000000000000000e+02
6.241298437118530273e+00,6.280000000000000000e+02
6.314554691314697266e+00,6.350000000000000000e+02
6.387785196304321289e+00,6.430000000000000000e+02
6.460979461669921875e+00,6.500000000000000000e+02
6.534215688705444336e+00,6.580000000000000000e+02
6.607390165328979492e+00,6.650000000000000000e+02
6.680601835250854492e+00,6.730000000000000000e+02
6.756641626358032227e+00,6.800000000000000000e+02
6.759158849716186523e+00,6.820000000000000000e+02
6.832569360733032227e+00,6.880000000000000000e+02
6.907884359359741211e+00,6.960000000000000000e+02
6.981088876724243164e+00,7.030000000000000000e+02
7.056765794754028320e+00,7.110000000000000000e+02
7.137331008911132812e+00,7.190000000000000000e+02
7.210959672927856445e+00,7.270000000000000000e+02
7.284213304519653320e+00,7.350000000000000000e+02
7.357467412948608398e+00,7.420000000000000000e+02
7.430711030960083008e+00,7.500000000000000000e+02
7.506013870239257812e+00,7.570000000000000000e+02
7.581265926361083984e+00,7.650000000000000000e+02
7.654539346694946289e+00,7.720000000000000000e+02
7.730301141738891602e+00,7.800000000000000000e+02
7.803555727005004883e+00,7.880000000000000000e+02
7.876800775527954102e+00,7.950000000000000000e+02
7.952126026153564453e+00,8.030000000000000000e+02
8.025476455688476562e+00,8.100000000000000000e+02
8.100727319717407227e+00,8.180000000000000000e+02
8.173982858657836914e+00,8.260000000000000000e+02
8.247138500213623047e+00,8.330000000000000000e+02
8.320331096649169922e+00,8.410000000000000000e+02
8.395792007446289062e+00,8.480000000000000000e+02
8.471106767654418945e+00,8.560000000000000000e+02
8.544368982315063477e+00,8.640000000000000000e+02
8.619818687438964844e+00,8.710000000000000000e+02
8.695550441741943359e+00,8.790000000000000000e+02
8.768799304962158203e+00,8.870000000000000000e+02
8.844142436981201172e+00,8.940000000000000000e+02
8.920394659042358398e+00,9.020000000000000000e+02
8.993672370910644531e+00,9.100000000000000000e+02
9.066960573196411133e+00,9.170000000000000000e+02
9.140235424041748047e+00,9.250000000000000000e+02
9.213460206985473633e+00,9.320000000000000000e+02
9.286738872528076172e+00,9.400000000000000000e+02
9.360012054443359375e+00,9.470000000000000000e+02
9.435420274734497070e+00,9.550000000000000000e+02
9.508842229843139648e+00,9.620000000000000000e+02
9.511127233505249023e+00,9.640000000000000000e+02
9.584396123886108398e+00,9.700000000000000000e+02
9.657792091369628906e+00,9.780000000000000000e+02
9.731239557266235352e+00,9.850000000000000000e+02
9.806607723236083984e+00,9.930000000000000000e+02
9.879869461059570312e+00,1.000000000000000000e+03
9.955401182174682617e+00,1.008000000000000000e+03
1.002862191200256348e+01,1.015000000000000000e+03
1.010384702682495117e+01,1.023000000000000000e+03
1.017707347869873047e+01,1.030000000000000000e+03
1.025036954879760742e+01,1.037000000000000000e+03
1.032689285278320312e+01,1.045000000000000000e+03
1.040017008781433105e+01,1.052000000000000000e+03
1.047546339035034180e+01,1.060000000000000000e+03
1.054873824119567871e+01,1.067000000000000000e+03
1.062196445465087891e+01,1.075000000000000000e+03
1.069743299484252930e+01,1.082000000000000000e+03
1.077067136764526367e+01,1.089000000000000000e+03
1.084604239463806152e+01,1.097000000000000000e+03
1.091921401023864746e+01,1.104000000000000000e+03
1.099239349365234375e+01,1.112000000000000000e+03
1.106790041923522949e+01,1.119000000000000000e+03
1.114133429527282715e+01,1.126000000000000000e+03
1.121666574478149414e+01,1.134000000000000000e+03
1.128988409042358398e+01,1.141000000000000000e+03
1.136312699317932129e+01,1.149000000000000000e+03
1.143835997581481934e+01,1.156000000000000000e+03
1.151157665252685547e+01,1.163000000000000000e+03
1.158687758445739746e+01,1.171000000000000000e+03
1.166012549400329590e+01,1.178000000000000000e+03
1.173339080810546875e+01,1.186000000000000000e+03
1.180855703353881836e+01,1.193000000000000000e+03
1.188178944587707520e+01,1.200000000000000000e+03
1.195711016654968262e+01,1.208000000000000000e+03
1.203038978576660156e+01,1.215000000000000000e+03
1.210357856750488281e+01,1.222000000000000000e+03
1.217888331413269043e+01,1.230000000000000000e+03
1.225210881233215332e+01,1.237000000000000000e+03
1.232742953300476074e+01,1.245000000000000000e+03
1.240065145492553711e+01,1.252000000000000000e+03
1.247389864921569824e+01,1.259000000000000000e+03
1.254920697212219238e+01,1.267000000000000000e+03
1.262239885330200195e+01,1.274000000000000000e+03
1.269779348373413086e+01,1.282000000000000000e+03
1.277100586891174316e+01,1.289000000000000000e+03
1.284456229209899902e+01,1.296000000000000000e+03
1.292082452774047852e+01,1.304000000000000000e+03
1.299423575401306152e+01,1.311000000000000000e+03
1.306989145278930664e+01,1.319000000000000000e+03
1.314324426651000977e+01,1.326000000000000000e+03
1.321890211105346680e+01,1.334000000000000000e+03
1.329233765602111816e+01,1.341000000000000000e+03
1.336574912071228027e+01,1.348000000000000000e+03
1.344141602516174316e+01,1.356000000000000000e+03
1.351482963562011719e+01,1.363000000000000000e+03
1.359043765068054199e+01,1.371000000000000000e+03
1.366376280784606934e+01,1.378000000000000000e+03
1.373716306686401367e+01,1.386000000000000000e+03
1.381290125846862793e+01,1.393000000000000000e+03
1.388615131378173828e+01,1.400000000000000000e+03
1.396154189109802246e+01,1.408000000000000000e+03
1.403479766845703125e+01,1.415000000000000000e+03
1.411008477210998535e+01,1.423000000000000000e+03
1.418329524993896484e+01,1.430000000000000000e+03
1.425645494461059570e+01,1.437000000000000000e+03
1.433177232742309570e+01,1.445000000000000000e+03
1.440540337562561035e+01,1.452000000000000000e+03
1.447882461547851562e+01,1.460000000000000000e+03
1.455429506301879883e+01,1.467000000000000000e+03
1.462748885154724121e+01,1.474000000000000000e+03
1.470356941223144531e+01,1.482000000000000000e+03
1.478100872039794922e+01,1.489000000000000000e+03
1.485789299011230469e+01,1.497000000000000000e+03
1.493376302719116211e+01,1.505000000000000000e+03
1.500717091560363770e+01,1.512000000000000000e+03
1.508285737037658691e+01,1.520000000000000000e+03
1.515626835823059082e+01,1.527000000000000000e+03
1.522978258132934570e+01,1.535000000000000000e+03
1.530543994903564453e+01,1.542000000000000000e+03
1.538008046150207520e+01,1.549000000000000000e+03
1.538237309455871582e+01,1.551000000000000000e+03
1.545588564872741699e+01,1.557000000000000000e+03
1.552928256988525391e+01,1.564000000000000000e+03
1.560508418083190918e+01,1.572000000000000000e+03
1.567851877212524414e+01,1.579000000000000000e+03
1.575452518463134766e+01,1.587000000000000000e+03
1.582846856117248535e+01,1.594000000000000000e+03
1.590445756912231445e+01,1.602000000000000000e+03
1.597912573814392090e+01,1.609000000000000000e+03
1.605504083633422852e+01,1.617000000000000000e+03
1.612826681137084961e+01,1.624000000000000000e+03
1.620371842384338379e+01,1.632000000000000000e+03
1.627696061134338379e+01,1.639000000000000000e+03
1.635040664672851562e+01,1.646000000000000000e+03
1.642594170570373535e+01,1.654000000000000000e+03
1.649936270713806152e+01,1.661000000000000000e+03
1.657484507560729980e+01,1.669000000000000000e+03
1.664804434776306152e+01,1.676000000000000000e+03
1.672366595268249512e+01,1.684000000000000000e+03
1.679905247688293457e+01,1.691000000000000000e+03
1.687445831298828125e+01,1.699000000000000000e+03
1.694766855239868164e+01,1.706000000000000000e+03
1.702090501785278320e+01,1.713000000000000000e+03
1.709643840789794922e+01,1.721000000000000000e+03
1.716964960098266602e+01,1.728000000000000000e+03
1.724522018432617188e+01,1.736000000000000000e+03
1.731843781471252441e+01,1.743000000000000000e+03
1.739162540435791016e+01,1.750000000000000000e+03
1.746703791618347168e+01,1.758000000000000000e+03
1.754028248786926270e+01,1.765000000000000000e+03
1.761572504043579102e+01,1.773000000000000000e+03
1.768896174430847168e+01,1.780000000000000000e+03
1.776215910911560059e+01,1.787000000000000000e+03
1.783765769004821777e+01,1.795000000000000000e+03
1.791086649894714355e+01,1.802000000000000000e+03
1.798632979393005371e+01,1.810000000000000000e+03
1.805958080291748047e+01,1.817000000000000000e+03
1.813275074958801270e+01,1.824000000000000000e+03
1.820817303657531738e+01,1.832000000000000000e+03
1.828136515617370605e+01,1.839000000000000000e+03
1.835672307014465332e+01,1.847000000000000000e+03
1.842997026443481445e+01,1.854000000000000000e+03
1.850318074226379395e+01,1.861000000000000000e+03
1.857886886596679688e+01,1.869000000000000000e+03
1.865206694602966309e+01,1.876000000000000000e+03
1.872752904891967773e+01,1.884000000000000000e+03
1.880077838897705078e+01,1.891000000000000000e+03
1.887403655052185059e+01,1.898000000000000000e+03
1.894942522048950195e+01,1.906000000000000000e+03
1.902269053459167480e+01,1.913000000000000000e+03
1.909811139106750488e+01,1.921000000000000000e+03
1.917154884338378906e+01,1.928000000000000000e+03
1.924521899223327637e+01,1.935000000000000000e+03
1.932057905197143555e+01,1.943000000000000000e+03
1.939378476142883301e+01,1.950000000000000000e+03
1.946943640708923340e+01,1.958000000000000000e+03
1.954301047325134277e+01,1.965000000000000000e+03
1.961641931533813477e+01,1.973000000000000000e+03
1.969207668304443359e+01,1.980000000000000000e+03
1.976556968688964844e+01,1.987000000000000000e+03
1.984137177467346191e+01,1.995000000000000000e+03
1.991476583480834961e+01,2.002000000000000000e+03
1.999042868614196777e+01,2.010000000000000000e+03
2.006380558013916016e+01,2.017000000000000000e+03
2.013722658157348633e+01,2.025000000000000000e+03
2.021290278434753418e+01,2.032000000000000000e+03
2.028633952140808105e+01,2.039000000000000000e+03
2.036217713356018066e+01,2.047000000000000000e+03
2.043554711341857910e+01,2.054000000000000000e+03
2.051127362251281738e+01,2.062000000000000000e+03
2.058506274223327637e+01,2.069000000000000000e+03
2.065830469131469727e+01,2.077000000000000000e+03
2.073423576354980469e+01,2.084000000000000000e+03
2.080750155448913574e+01,2.091000000000000000e+03
2.088347458839416504e+01,2.099000000000000000e+03
2.095689249038696289e+01,2.106000000000000000e+03
2.103411841392517090e+01,2.114000000000000000e+03
2.110740303993225098e+01,2.121000000000000000e+03
2.118287348747253418e+01,2.129000000000000000e+03
2.125612545013427734e+01,2.136000000000000000e+03
2.133155059814453125e+01,2.144000000000000000e+03
2.140492868423461914e+01,2.151000000000000000e+03
2.147814750671386719e+01,2.158000000000000000e+03
2.155350470542907715e+01,2.166000000000000000e+03
2.162679791450500488e+01,2.173000000000000000e+03
2.170219397544860840e+01,2.181000000000000000e+03
2.177637076377868652e+01,2.188000000000000000e+03
2.184961390495300293e+01,2.196000000000000000e+03
2.192501306533813477e+01,2.203000000000000000e+03
2.199834823608398438e+01,2.210000000000000000e+03
2.207374644279479980e+01,2.218000000000000000e+03
2.214703130722045898e+01,2.225000000000000000e+03
2.222017478942871094e+01,2.233000000000000000e+03
2.229549860954284668e+01,2.240000000000000000e+03
2.236872029304504395e+01,2.247000000000000000e+03
2.244402194023132324e+01,2.255000000000000000e+03
