time,packet_count
5.037807703018188477e+00,1.000000000000000000e+00
1.005145120620727539e+01,2.000000000000000000e+00
1.506564140319824219e+01,3.000000000000000000e+00
2.007921028137207031e+01,4.000000000000000000e+00
2.509284234046936035e+01,5.000000000000000000e+00
3.010635471343994141e+01,6.000000000000000000e+00
3.511992049217224121e+01,7.000000000000000000e+00
4.013345909118652344e+01,8.000000000000000000e+00
4.514700269699096680e+01,9.000000000000000000e+00
5.016054630279541016e+01,1.000000000000000000e+01
5.517410778999328613e+01,1.100000000000000000e+01
6.018749356269836426e+01,1.200000000000000000e+01
5.013976335525512695e+00,1.000000000000000000e+00
1.002857160568237305e+01,2.000000000000000000e+00
1.504242372512817383e+01,3.000000000000000000e+00
2.005631184577941895e+01,4.000000000000000000e+00
2.507004022598266602e+01,5.000000000000000000e+00
3.008372521400451660e+01,6.000000000000000000e+00
3.509737682342529297e+01,7.000000000000000000e+00
4.011100578308105469e+01,8.000000000000000000e+00
4.512460184097290039e+01,9.000000000000000000e+00
5.013815188407897949e+01,1.000000000000000000e+01
5.515171360969543457e+01,1.100000000000000000e+01
6.016505551338195801e+01,1.200000000000000000e+01
5.013642072677612305e+00,1.000000000000000000e+00
1.002732944488525391e+01,2.000000000000000000e+00
1.504177474975585938e+01,3.000000000000000000e+00
2.005540609359741211e+01,4.000000000000000000e+00
2.506903362274169922e+01,5.000000000000000000e+00
3.008264446258544922e+01,6.000000000000000000e+00
3.509624266624450684e+01,7.000000000000000000e+00
4.010980367660522461e+01,8.000000000000000000e+00
4.512351036071777344e+01,9.000000000000000000e+00
5.013704919815063477e+01,1.000000000000000000e+01
5.515059947967529297e+01,1.100000000000000000e+01
6.016260671615600586e+01,1.200000000000000000e+01
