time,packet_count
1.406006574630737305e+00,1.000000000000000000e+00
3.982650041580200195e+00,2.000000000000000000e+00
2.786401987075805664e+01,3.000000000000000000e+00
2.922674274444580078e+01,4.000000000000000000e+00
3.103527569770812988e+01,5.000000000000000000e+00
3.473829603195190430e+01,6.000000000000000000e+00
4.551734566688537598e+01,7.000000000000000000e+00
4.682298541069030762e+01,8.000000000000000000e+00
4.960288739204406738e+01,9.000000000000000000e+00
5.902378129959106445e+01,1.000000000000000000e+01
